代码,名称,市场
002199,东晶电子,SZ
301369,联动科技,SZ
001298,好上好,SZ
300165,ST天瑞,SZ
300127,银河磁体,SZ
300723,一品红,SZ
002676,顺威股份,SZ
001332,锡装股份,SZ
300955,嘉亨家化,SZ
002843,泰嘉股份,SZ
300303,聚飞光电,SZ
300333,兆日科技,SZ
300096,ST易联众,SZ
300906,日月明,SZ
300249,依米康,SZ
300013,*ST新宁,SZ
300054,鼎龙股份,SZ
002933,新兴装备,SZ
300886,华业香料,SZ
300522,世名科技,SZ
300961,深水海纳,SZ
300743,天地数码,SZ
300375,鹏翎股份,SZ
300460,惠伦晶体,SZ
300843,胜蓝股份,SZ
300543,朗科智能,SZ
301001,凯淳股份,SZ
300556,丝路视觉,SZ
300630,普利制药,SZ
001288,运机集团,SZ
000829,天音控股,SZ
000810,创维数字,SZ
301260,格力博,SZ
000697,炼石航空,SZ
300785,值得买,SZ
300781,因赛集团,SZ
301313,凡拓数创,SZ
301596,瑞迪智驱,SZ
300854,中兰环保,SZ
300173,福能东方,SZ
300975,商络电子,SZ
002956,西麦食品,SZ
300894,火星人,SZ
300538,同益股份,SZ
301302,华如科技,SZ
002988,豪美新材,SZ
002950,奥美医疗,SZ
002631,德尔未来,SZ
002708,光洋股份,SZ
300007,汉威科技,SZ
000995,皇台酒业,SZ
002809,红墙股份,SZ
300371,汇中股份,SZ
002633,申科股份,SZ
300159,新研股份,SZ
301289,国缆检测,SZ
300559,佳发教育,SZ
300403,汉宇集团,SZ
001387,雪祺电气,SZ
002529,海源复材,SZ
301230,泓博医药,SZ
300162,雷曼光电,SZ
301558,三态股份,SZ
300931,通用电梯,SZ
301256,华融化学,SZ
300733,西菱动力,SZ
300661,圣邦股份,SZ
002241,歌尔股份,SZ
002620,瑞和股份,SZ
002634,棒杰股份,SZ
300637,扬帆新材,SZ
300126,锐奇股份,SZ
300787,海能实业,SZ
002796,世嘉科技,SZ
300691,联合光电,SZ
002090,金智科技,SZ
002246,北化股份,SZ
301567,贝隆精密,SZ
002575,群兴玩具,SZ
002957,科瑞技术,SZ
300423,昇辉科技,SZ
300410,正业科技,SZ
002866,传艺科技,SZ
301592,六九一二,SZ
000523,红棉股份,SZ
301020,密封科技,SZ
001226,拓山重工,SZ
000545,金浦钛业,SZ
300513,恒实科技,SZ
300716,泉为科技,SZ
301021,英诺激光,SZ
300290,荣科科技,SZ
002748,ST世龙,SZ
301036,双乐股份,SZ
301105,鸿铭股份,SZ
301037,保立佳,SZ
300950,德固特,SZ
300456,赛微电子,SZ
002486,嘉麟杰,SZ
300508,维宏股份,SZ
002959,小熊电器,SZ
002837,英维克,SZ
000919,金陵药业,SZ
300923,研奥股份,SZ
300800,力合科技,SZ
301081,严牌股份,SZ
000889,ST中嘉,SZ
001268,联合精密,SZ
300549,优德精密,SZ
000600,建投能源,SZ
300448,浩云科技,SZ
301028,东亚机械,SZ
300181,佐力药业,SZ
002156,通富微电,SZ
301118,恒光股份,SZ
300988,津荣天宇,SZ
000565,渝三峡Ａ,SZ
002527,新时达,SZ
002963,豪尔赛,SZ
301045,天禄科技,SZ
300611,美力科技,SZ
300548,博创科技,SZ
300147,香雪制药,SZ
301005,超捷股份,SZ
001306,夏厦精密,SZ
002909,集泰股份,SZ
301628,强达电路,SZ
001389,广合科技,SZ
300225,金力泰,SZ
300486,东杰智能,SZ
300816,艾可蓝,SZ
300566,激智科技,SZ
300971,博亚精工,SZ
002570,贝因美,SZ
301499,维科精密,SZ
301212,联盛化学,SZ
002324,普利特,SZ
300554,三超新材,SZ
002650,ST加加,SZ
300277,海联讯,SZ
002759,天际股份,SZ
301116,益客食品,SZ
300656,民德电子,SZ
301022,海泰科,SZ
002785,万里石,SZ
300965,*ST恒宇,SZ
300666,江丰电子,SZ
301512,智信精密,SZ
000999,华润三九,SZ
300551,古鳌科技,SZ
301300,远翔新材,SZ
300400,劲拓股份,SZ
300449,汉邦高科,SZ
300753,爱朋医疗,SZ
301332,德尔玛,SZ
301075,多瑞医药,SZ
300302,同有科技,SZ
300663,科蓝软件,SZ
300673,佩蒂股份,SZ
003043,华亚智能,SZ
300531,优博讯,SZ
300278,华昌达,SZ
300641,正丹股份,SZ
300719,安达维尔,SZ
002654,万润科技,SZ
300692,中环环保,SZ
002726,龙大美食,SZ
002989,中天精装,SZ
000929,兰州黄河,SZ
301312,智立方,SZ
300353,东土科技,SZ
300286,安科瑞,SZ
300940,南极光,SZ
002952,亚世光电,SZ
300222,科大智能,SZ
301381,赛维时代,SZ
301310,鑫宏业,SZ
301323,新莱福,SZ
300191,潜能恒信,SZ
301112,信邦智能,SZ
300762,上海瀚讯,SZ
301348,蓝箭电子,SZ
300076,GQY视讯,SZ
000632,三木集团,SZ
300354,东华测试,SZ
301389,隆扬电子,SZ
002981,朝阳科技,SZ
000537,中绿电,SZ
300135,宝利国际,SZ
002338,奥普光电,SZ
002495,佳隆股份,SZ
301209,联合化学,SZ
